iter	MultiClass
0	1.288428104
1	1.212270826
2	1.148628578
3	1.102696849
4	1.054381362
5	1.018380502
6	0.9910426677
7	0.967230444
8	0.9391519127
9	0.9167126254
10	0.898245673
11	0.8811301071
12	0.8662862581
13	0.853956002
14	0.8389682187
15	0.826771587
16	0.8151717757
17	0.8029638029
18	0.7919129335
19	0.7813830788
20	0.7734205344
21	0.7651382086
22	0.7594099407
23	0.747784958
24	0.7407651918
25	0.7343400809
26	0.7260558617
27	0.7206167517
28	0.7170174607
29	0.710099822
30	0.7052739458
31	0.6986216759
32	0.6933698078
33	0.6863628098
34	0.6836006736
35	0.6817414842
36	0.680772449
37	0.6773224974
38	0.6739465941
39	0.6665331945
40	0.6611548543
41	0.6597010088
42	0.6571529081
43	0.6536330146
44	0.6500438708
45	0.6473151681
46	0.6451395095
47	0.6410481127
48	0.6374725447
49	0.6354313375
50	0.6326667334
51	0.6272929355
52	0.6224349555
53	0.6198451643
54	0.6174287117
55	0.6155610434
56	0.6107862691
57	0.6079625741
58	0.6054047551
59	0.603811817
60	0.6017183682
61	0.5987912549
62	0.5960060497
63	0.5934223423
64	0.5911196844
65	0.5893804549
66	0.5858151388
67	0.5832650684
68	0.5817931215
69	0.5803613813
70	0.5784982879
71	0.5769357424
72	0.5753516412
73	0.573365578
74	0.5702011537
75	0.5680293483
76	0.5659960868
77	0.5643997841
78	0.5634814905
79	0.5614140898
80	0.5595593188
81	0.5582467219
82	0.5560825212
83	0.5548241648
84	0.5532196597
85	0.5526101826
86	0.5511329784
87	0.5498951504
88	0.5485648097
89	0.5474241689
90	0.5463667436
91	0.54472366
92	0.5428804233
93	0.541742389
94	0.5401369686
95	0.5391911403
96	0.5378533413
97	0.5342207508
98	0.5331594189
99	0.5318509973
100	0.5285338145
101	0.5272406087
102	0.5256369936
103	0.5245277498
104	0.5232497208
105	0.5219151668
106	0.5204481499
107	0.5195061658
108	0.518134689
109	0.5167258698
110	0.5154004307
111	0.5140394823
112	0.5120788944
113	0.5111672457
114	0.509023362
115	0.5084712627
116	0.5063614031
117	0.5042233291
118	0.5030711304
119	0.5011079889
120	0.5001927628
121	0.4991080118
122	0.4981709673
123	0.4970515843
124	0.4959542083
125	0.4950319387
126	0.4940232711
127	0.4926348631
128	0.4916213446
129	0.4906439529
130	0.4900756369
131	0.4886815622
132	0.4879330422
133	0.4869899387
134	0.4861125984
135	0.4851033398
136	0.4844703192
137	0.4832159592
138	0.4823643497
139	0.4815125195
140	0.4810066601
141	0.4802483603
142	0.4794042183
143	0.4779924685
144	0.4771337878
145	0.4766876656
146	0.4759179773
147	0.4747869532
148	0.4739589703
149	0.4728899023
150	0.4721539191
151	0.4711312824
152	0.4703617144
153	0.4693914403
154	0.468187915
155	0.4671751444
156	0.4660727448
157	0.4653815618
158	0.4647989591
159	0.4639582667
160	0.4633820803
161	0.46273661
162	0.461647024
163	0.4605416339
164	0.4601753368
165	0.4591845867
166	0.458610872
167	0.4579777842
168	0.4567491862
169	0.4560706346
170	0.4555193237
171	0.4546753536
172	0.4540174832
173	0.4531945385
174	0.4525851401
175	0.4519503083
176	0.4513674939
177	0.4503922788
178	0.4499960401
179	0.44914587
180	0.4485915092
181	0.4479782872
182	0.4469978388
183	0.4464893478
184	0.4463080282
185	0.4456679591
186	0.4448935665
187	0.4441190192
188	0.443382372
189	0.442369917
190	0.441606186
191	0.4410253242
192	0.4402204274
193	0.4392894894
194	0.4388047261
195	0.4380583255
196	0.4377280454
197	0.4369721713
198	0.4361451031
199	0.4351899517
200	0.4343876588
201	0.4339473557
202	0.4333331884
203	0.4324686718
204	0.4321341027
205	0.4317362491
206	0.4315355321
207	0.4309856454
208	0.4303188585
209	0.4293737397
210	0.4290750208
211	0.4285426801
212	0.4277783317
213	0.4268466335
214	0.4263867704
215	0.4260085078
216	0.4253816906
217	0.4246146332
218	0.4238135143
219	0.4227809407
220	0.4222361654
221	0.4218768514
222	0.4212502204
223	0.4207576652
224	0.4203458956
225	0.4200845064
226	0.4196254255
227	0.4190265828
228	0.4184271891
229	0.4179312414
230	0.4176053267
231	0.4167835007
232	0.4162434128
233	0.4157462207
234	0.415311594
235	0.4148816961
236	0.4146665527
237	0.4138678428
238	0.4133954485
239	0.4131226352
240	0.4128448942
241	0.4124837835
242	0.4120608874
243	0.4116596861
244	0.4113351428
245	0.4107102623
246	0.4100863493
247	0.4096290166
248	0.4090122264
249	0.4084906937
250	0.4082785986
251	0.4079830838
252	0.4075723205
253	0.4071267469
254	0.406916981
255	0.40668335
256	0.4063355849
257	0.4060200289
258	0.4055384813
259	0.4050342764
260	0.4047248737
261	0.4043850739
262	0.4041889596
263	0.4040329443
264	0.4036540094
265	0.4031734197
266	0.4028347885
267	0.4025091056
268	0.4018286549
269	0.4012569678
270	0.4009643155
271	0.4007680558
272	0.4006002529
273	0.4002271653
274	0.400047049
275	0.3994192686
276	0.3989438338
277	0.3987323897
278	0.3985794321
279	0.3981374894
280	0.397693485
281	0.3973219861
282	0.3964294477
283	0.3959165291
284	0.3952035907
285	0.3948185267
286	0.3944393284
287	0.3938700824
288	0.3935590664
289	0.3933804666
290	0.3930653288
291	0.3924605582
292	0.3919697716
293	0.391410305
294	0.3908929224
295	0.3905021053
296	0.3902334241
297	0.3896776034
298	0.3889650462
299	0.3886485416
